"SampleID","BirdID","Isolator","DPI","BodySite","Infection","BodySiteInf","BodyWt_g","SizeStd_BursaWt","Sex","Age_days","ratio_16s","EID50.mL","HI","UT_IFN.a","UT_IFN.b","UT_IFN.g","UT_IFN.l","UT_IL.6","UT_OAS","UT_Mx","UT_LITAF","CT_IFN.g","CT_IFN.l","CT_OAS","CT_Mx","CT_IL4","CT_IL5","CT_IL6","CT_IL10","CT_IL12","CT_LITAF","DateCollected","DateProcessed","DateExtracted","Extractor","NanoDrop","DNA.uL","Buffer.uL","Conc_ng.uL","Copies_16s"
"cCE036","268",5,"5DPC","CEC","TKMN","CEC_TKMN",89,3.439325843,"F",23,152136.004,1.017951667,NA,2.543027576,1.236715083,1.028993616,1.790930311,0.513161929,5.981970102,1.155443161,0.201480144,-2.013068856,0.78015828,2.387816796,-0.700005048,0.056917992,-2.106319518,1.056003452,-1.464010454,0.728722455,0.42264814,"3/10/2018","9/27/2018","10/26/2018","H. Ji",179.4,11,9,100,304272008
"cCE037","269",5,"5DPC","CEC","TKMN","CEC_TKMN",118,2.529661017,"M",23,40356.8525,9.141222222,NA,3.645427576,6.089015083,5.561593616,8.319630311,4.124261929,7.145170102,1.130443161,1.100080144,-2.092268856,-0.31314172,2.554216796,-0.100605048,1.441317992,-1.208919518,2.063503452,-0.335710454,0.625222455,-0.78855186,"3/10/2018","9/27/2018","10/26/2018","H. Ji",184.8,11,9,100,80713705
"cCE038","270",5,"5DPC","CEC","TKMN","CEC_TKMN",136,1.955882353,"M",23,3565.691,2.732173889,NA,2.954727576,2.152915083,2.713093616,2.230130311,1.087061929,6.840370102,1.778143161,0.229480144,-0.858068856,0.45865828,3.622016796,-1.286205048,-0.516582008,-3.423819518,2.719103452,-1.601510454,-0.172977545,0.66164814,"3/10/2018","9/27/2018","10/26/2018","H. Ji",248.4,8,12,100,7131382
"cCE039","271",5,"5DPC","CEC","TKMN","CEC_TKMN",92,3.058695652,"F",23,18723.397,2.269333889,NA,1.801127576,1.303515083,0.522793616,1.717930311,0.660461929,5.830770102,1.799043161,-0.059819856,-1.496668856,1.73005828,-0.040483204,-0.236205048,-1.267682008,-1.411019518,0.171903452,-0.549910454,0.398422455,-0.38905186,"3/10/2018","9/27/2018","10/26/2018","H. Ji",185.8,11,9,100,37446794
"cCE040","272",5,"5DPC","CEC","TKMN","CEC_TKMN",128,3.79375,"F",23,2009.6705,3.334294444,NA,0.913727576,1.694315083,1.539993616,1.436630311,0.369661929,5.503770102,0.282643161,0.402080144,-0.682568856,0.59345828,3.069816796,-0.840205048,1.680017992,-0.845819518,1.858803452,0.872589546,1.257222455,-0.34635186,"3/10/2018","9/27/2018","10/26/2018","H. Ji",125.9,16,4,100,4019341
"cCE041","273",6,"5DPC","CEC","TKMN","CEC_TKMN",165,3.430909091,"M",23,3677.5335,0,NA,-1.357372424,-0.464484917,-1.487706384,0.394630311,0.437761929,4.225170102,0.130843161,-1.277819856,-1.490168856,1.26135828,3.610016796,-1.168305048,0.524217992,-0.895019518,3.052803452,-0.738510454,0.305522455,0.93444814,"3/10/2018","9/27/2018","10/26/2018","H. Ji",185.8,11,9,100,7355067
"cCE042","274",6,"5DPC","CEC","TKMN","CEC_TKMN",124,1.987903226,"F",23,173860.527,1.965059444,NA,3.119127576,3.606715083,2.965493616,5.400930311,2.315361929,6.533570102,1.626843161,0.361780144,-3.250868856,0.27885828,2.511816796,-2.740105048,-0.457282008,-2.862719518,-0.014896548,-1.892310454,-0.555377545,-1.44045186,"3/10/2018","9/27/2018","10/26/2018","H. Ji",64.8,20,0,64.8,225323243
"cCE043","275",6,"5DPC","CEC","TKMN","CEC_TKMN",140,2.700714286,"F",23,77751.10841,1.75721,NA,0.576427576,0.759115083,-1.912506384,0.869230311,0.492861929,4.628270102,0.383143161,-0.656819856,-0.322368856,0.80155828,3.485916796,-0.660105048,1.557517992,-0.679719518,2.332403452,-0.158010454,1.698322455,0.34704814,"3/10/2018","9/27/2018","10/26/2018","H. Ji",45.2,20,0,45.2,70287002
"cCE044","276",6,"5DPC","CEC","TKMN","CEC_TKMN",143,2.03006993,"M",23,53720.20246,0,NA,2.705927576,0.999515083,-0.594006384,1.489130311,1.191461929,4.250170102,0.564143161,0.390880144,-1.303568856,0.91645828,1.720616796,-0.652005048,-0.150982008,-2.249319518,1.662103452,-1.151110454,0.624122455,1.48154814,"3/10/2018","9/27/2018","10/26/2018","H. Ji",28.4,20,0,28.4,30513075
"cCE045","277",6,"5DPC","CEC","TKMN","CEC_TKMN",178,2.061797753,"M",23,3818.005,1.315797778,NA,0.853727576,0.789415083,-0.555806384,1.129830311,1.589861929,5.446970102,0.189443161,-0.113119856,-1.468868856,0.32995828,1.541316796,-0.296105048,1.138017992,-1.472519518,0.804103452,-0.523210454,-0.012077545,0.98714814,"3/10/2018","9/27/2018","10/26/2018","H. Ji",158.7,13,7,100,7636010
"cCE046","278",6,"5DPC","CEC","TKMN","CEC_TKMN",160,1.933125,"F",23,5204.9475,0,NA,0.992527576,0.334115083,0.551393616,1.046330311,0.025461929,4.179270102,0.734543161,-0.737119856,-1.535168856,1.10475828,3.591116796,-1.668205048,-1.373482008,-2.109219518,3.646003452,-1.245610454,-0.309277545,-0.17705186,"3/10/2018","9/27/2018","10/26/2018","H. Ji",102.7,19,1,100,10409895
"cCE047","279",6,"5DPC","CEC","TKMN","CEC_TKMN",152,3.618421053,"M",23,221778.041,0,NA,0.626827576,-0.035284917,-1.736006384,1.182230311,2.253761929,4.727670102,-0.330656839,-1.171319856,-0.655768856,1.19575828,1.871516796,-0.465405048,0.884217992,-3.985619518,-1.248196548,-0.018210454,0.138522455,-1.84345186,"3/10/2018","9/27/2018","10/26/2018","H. Ji",202.5,10,10,100,443556082
"cCE048","280",6,"5DPC","CEC","TKMN","CEC_TKMN",165,1.60969697,"M",23,10441.87064,0.992238333,NA,1.537427576,2.223115083,-1.131606384,2.004830311,0.453161929,4.772070102,-0.657156839,-1.550919856,-1.084568856,-1.08424172,2.944816796,-2.066505048,-1.229982008,-2.254619518,1.834303452,-0.826910454,-1.052277545,0.07974814,"3/10/2018","9/27/2018","10/26/2018","H. Ji",94.7,20,0,94.7,19776903
"cCE049","217",1,"14DPC","CEC","Mock","CEC_Mock",688,1.720494186,"F",32,24035.022,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",122.6,16,4,100,48070044
"cCE050","218",1,"14DPC","CEC","Mock","CEC_Mock",649,1.261787365,"M",32,1840.684211,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",76,20,0,76,2797840
"cCE051","219",1,"14DPC","CEC","Mock","CEC_Mock",663,1.660935143,"M",32,184492.825,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",125.1,16,4,100,368985650
"cCE052","220",1,"14DPC","CEC","Mock","CEC_Mock",695,1.749064748,"M",32,31011.41842,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",80.9,20,0,80.9,50176475
"cCE053","221",1,"14DPC","CEC","Mock","CEC_Mock",839,1.238617402,"M",32,3633.1225,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",125.9,16,4,100,7266245
"cCE054","222",1,"14DPC","CEC","Mock","CEC_Mock",512,1.571875,"F",32,11895.8135,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",126.2,16,4,100,23791627
"cCE055","223",1,"14DPC","CEC","Mock","CEC_Mock",793,1.508575032,"M",32,81265.498,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",152,13,7,100,162530996
"cCE056","224",1,"14DPC","CEC","Mock","CEC_Mock",605,1.836694215,"F",32,18220.242,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",171.2,12,8,100,36440484
"cCE057","225",2,"14DPC","CEC","Mock","CEC_Mock",858,1.088927739,"M",32,87540.5053,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",66,20,0,66,115553467
"cCE058","226",2,"14DPC","CEC","Mock","CEC_Mock",639,1.531298905,"M",32,87534.0005,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",124.3,16,4,100,175068001
"cCE059","227",2,"14DPC","CEC","Mock","CEC_Mock",566,1.624381625,"F",32,1225.2085,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",151.6,13,7,100,2450417
"cCE060","228",2,"14DPC","CEC","Mock","CEC_Mock",540,1.716111111,"F",32,1615.856,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",123.5,16,4,100,3231712
"cCE061","229",2,"14DPC","CEC","Mock","CEC_Mock",655,1.907022901,"M",32,3335.672589,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",39.4,20,0,39.4,2628510
"cCE062","230",2,"14DPC","CEC","Mock","CEC_Mock",515,1.691262136,"F",32,87552.22028,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3/19/2018","10/1/2018","10/24/2018","H. Ji",28.6,20,0,28.6,50079870
