SampleID,BarcodeSequence,LinkerPrimerSequence,Age,Age_weeks,Tissue,Flock,Flock2,AgeTissue,AgeTissueFlock,Weight_g,Bird#,NDV,REO,HEV,BA,MG,MM,MS,Description
cI154,,,Sixteen,16,IL ,RD3 ,RD3-DR,SixteenIL,SixteenIL_RD3,13600,106,0,3326,16106,0,Negative,Negative,Negative,I154
cI155,,,Sixteen,16,IL ,RD3 ,RD3-DR,SixteenIL,SixteenIL_RD3,13400,107,0,203,10317,0,Negative,Negative,Negative,I155
cI156,,,Sixteen,16,IL ,RD3 ,RD3-DR,SixteenIL,SixteenIL_RD3,13600,108,0,999,16303,0,Negative,Negative,Negative,I156
cI157,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,152,14,4198,964,2476,4574,Negative,Negative,Negative,I157
cI158,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,153,15,8310,418,1086,6400,Negative,Negative,Negative,I158
cI159,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,152,16,2686,246,1966,0,Negative,Inconclusive,Inconclusive,I159
cI160,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,189,17,5675,594,4002,0,Negative,Negative,Negative,I160
cI161,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,152,18,4435,630,3008,3073,Negative,Negative,Negative,I161
cI162,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,124,19,4167,401,1676,0,Negative,Negative,Negative,I162
cI163,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,138,20,2673,559,3888,6687,Negative,Negative,Negative,I163
cI164,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,119,21,0,814,3518,8559,Negative,Negative,Negative,I164
cI165,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,110,22,5423,418,2210,8114,Negative,Negative,Negative,I165
cI166,,,One,1,IL ,RD2 ,RD2 ,OneIL,OneIL_RD2,139,23,5442,1133,5431,6700,Negative,Negative,Negative,I166
cI167,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,802,25,0,148,0,0,Negative,Negative,Negative,I167
cI168,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,789,26,0,229,1563,0,Negative,Negative,Negative,I168
cI169,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,526,27,2394,54,0,0,Negative,Negative,Negative,I169
cI170,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,792,28,0,246,421,366,Negative,Negative,Negative,I170
cI171,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,614,29,0,347,232,443,Negative,Negative,Negative,I171
cI172,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,689,30,0,523,1182,887,Negative,Negative,Negative,I172
cI173,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,457,31,0,296,482,1100,Negative,Negative,Negative,I173
cI174,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,763,32,0,279,171,0,Negative,Negative,Negative,I174
cI175,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,777,33,0,116,457,312,Negative,Negative,Negative,I175
cI176,,,Three,3,IL ,RD2 ,RD2 ,ThreeIL,ThreeIL_RD2,749,34,0,246,0,0,Negative,Negative,Negative,I176
cI177,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1281,45,0,116,171,0,Negative,Negative,Negative,I177
cI178,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1642,46,0,164,238,0,Negative,Negative,Negative,I178
cI179,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1745,47,0,668,840,0,Negative,Negative,Negative,I179
cI180,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1680,48,0,435,0,0,Negative,Negative,Negative,I180
cI181,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1655,49,0,279,0,0,Negative,Negative,Negative,I181
cI182,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1442,50,0,347,206,0,Negative,Negative,Negative,I182
cI183,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1593,51,0,296,486,0,Negative,Negative,Negative,I183
cI184,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1513,52,0,541,158,0,Negative,Negative,Negative,I184
cI185,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1418,53,0,1076,853,284,Negative,Negative,Negative,I185
cI186,,,Five,5,IL ,RD2 ,RD2 ,FiveIL,FiveIL_RD2,1710,54,0,541,0,4190,Negative,Negative,Negative,I186
cI187,,,Eight,8,IL ,RD2 ,RD2-JF,EightIL,EightIL_RD2,3600,65,0,296,519,576,Negative,Negative,Negative,I187
cI188,,,Eight,8,IL ,RD2 ,RD2-JF,EightIL,EightIL_RD2,3800,66,0,612,708,371,Negative,Negative,Negative,I188
cI189,,,Eight,8,IL ,RD2 ,RD2-JF,EightIL,EightIL_RD2,3400,67,0,364,215,341,Negative,Negative,Negative,I189
cI190,,,Eight,8,IL ,RD2 ,RD2-JF,EightIL,EightIL_RD2,4100,68,0,180,0,0,Negative,Negative,Negative,I190
